Date,Year,City,State,Region,Customer,Flavor,Transaction_Type,Quantity,Unit_Price,Sales,Profits,Stock_Change,Reorder_Point,Stock_Balance,Reorder_Alert
2024-01-01 00:00:00.000000000,2024,Bangalore,Karnataka,South,BigMart,Tomato Wafers,Inbound,184,14.14,2601.26,402.67,184,193,983,NO
2024-01-01 02:19:59.759951990,2024,Pune,Maharashtra,South,QuickBuy,Aloo Bhujia Wafers,Outbound,183,13.33,2439.38,490.37,-183,206,54,YES
2024-01-01 04:39:59.519903980,2024,Chennai,Tamil Nadu,South,QuickBuy,Cream & Onion Wafers,Inbound,189,7.98,1507.41,439.77,189,377,152,YES
2024-01-01 06:59:59.279855971,2024,Jaipur,Rajasthan,East,RetailMart,Chilli Wafers,Inbound,28,12.89,361.0,48.55,28,227,455,NO
2024-01-01 09:19:59.039807961,2024,Bangalore,Karnataka,East,RetailMart,Aloo Bhujia Wafers,Inbound,115,5.31,610.9,149.02,115,137,285,NO
2024-01-01 11:39:58.799759951,2024,Hyderabad,Telangana,East,QuickBuy,Masala Wafers,Outbound,30,14.67,440.06,98.09,-30,196,35,YES
2024-01-01 13:59:58.559711942,2024,Mumbai,Maharashtra,West,QuickBuy,Black Pepper Wafers,Outbound,73,10.27,749.41,176.81,-73,297,817,NO
2024-01-01 16:19:58.319663932,2024,Bangalore,Karnataka,East,BigMart,Tomato Wafers,Outbound,174,8.03,1397.71,237.95,-174,291,909,NO
2024-01-01 18:39:58.079615923,2024,Chennai,Tamil Nadu,West,QuickBuy,Salted Wafers,Inbound,36,8.63,310.53,50.55,36,456,796,NO
2024-01-01 20:59:57.839567913,2024,Jaipur,Rajasthan,East,ShopEase,Aloo Bhujia Wafers,Inbound,64,5.66,362.5,85.86,64,106,922,NO
2024-01-01 23:19:57.599519903,2024,Pune,Maharashtra,East,QuickBuy,Aloo Bhujia Wafers,Outbound,38,14.89,565.95,80.99,-38,143,884,NO
2024-01-02 01:39:57.359471894,2024,Chennai,Tamil Nadu,South,SuperStore,Cream & Onion Wafers,Inbound,157,5.39,846.69,155.73,157,431,255,YES
2024-01-02 03:59:57.119423884,2024,Chennai,Tamil Nadu,North,QuickBuy,Aloo Bhujia Wafers,Inbound,34,11.55,392.67,54.05,34,106,177,NO
2024-01-02 06:19:56.879375875,2024,Mumbai,Maharashtra,South,RetailMart,Black Pepper Wafers,Inbound,79,9.43,744.76,75.71,79,293,547,NO
2024-01-02 08:39:56.639327865,2024,Delhi,Delhi,East,RetailMart,Cream & Onion Wafers,Outbound,72,14.49,1043.22,306.72,-72,415,253,YES
2024-01-02 10:59:56.399279855,2024,Jaipur,Rajasthan,North,SuperStore,Masala Wafers,Inbound,173,7.46,1290.58,240.49,173,100,507,NO
2024-01-02 13:19:56.159231846,2024,Surat,Gujarat,North,ShopEase,Cheese Wafers,Inbound,139,10.32,1434.6,421.59,139,161,673,NO
2024-01-02 15:39:55.919183836,2024,Chennai,Tamil Nadu,West,QuickBuy,Mint Masala Wafers,Outbound,159,9.82,1561.95,200.03,-159,442,20,YES
2024-01-02 17:59:55.679135827,2024,Delhi,Delhi,North,QuickBuy,Chilli Wafers,Inbound,25,12.03,300.72,65.4,25,188,805,NO
2024-01-02 20:19:55.439087817,2024,Surat,Gujarat,West,SuperStore,Cheese Wafers,Outbound,155,5.68,880.42,123.43,-155,117,74,YES
2024-01-02 22:39:55.199039807,2024,Jaipur,Rajasthan,South,BigMart,Cream & Onion Wafers,Inbound,191,6.94,1325.14,341.91,191,207,992,NO
2024-01-03 00:59:54.958991798,2024,Ahmedabad,Gujarat,West,BigMart,Chilli Wafers,Inbound,109,7.15,778.88,199.97,109,234,718,NO
2024-01-03 03:19:54.718943788,2024,Hyderabad,Telangana,East,ShopEase,Tomato Wafers,Outbound,39,12.38,482.88,59.16,-39,470,459,YES
2024-01-03 05:39:54.478895779,2024,Delhi,Delhi,North,QuickBuy,Masala Wafers,Outbound,54,6.89,372.13,105.09,-54,409,983,NO
2024-01-03 07:59:54.238847769,2024,Kolkata,West Bengal,East,QuickBuy,Salted Wafers,Outbound,28,10.73,300.58,41.76,-28,166,177,NO
2024-01-03 10:19:53.998799759,2024,Ahmedabad,Gujarat,North,QuickBuy,Aloo Bhujia Wafers,Outbound,43,7.15,307.55,68.46,-43,192,381,NO
2024-01-03 12:39:53.758751750,2024,Hyderabad,Telangana,North,RetailMart,Salted Wafers,Inbound,150,13.62,2042.44,606.86,150,237,36,YES
2024-01-03 14:59:53.518703740,2024,Mumbai,Maharashtra,South,BigMart,Cream & Onion Wafers,Inbound,180,14.42,2595.93,717.72,180,288,970,NO
2024-01-03 17:19:53.278655731,2024,Bangalore,Karnataka,West,SuperStore,Chilli Wafers,Inbound,71,10.18,723.13,210.66,71,158,119,YES
2024-01-03 19:39:53.038607721,2024,Pune,Maharashtra,South,RetailMart,Aloo Bhujia Wafers,Outbound,127,8.52,1082.43,182.41,-127,286,914,NO
2024-01-03 21:59:52.798559711,2024,Kolkata,West Bengal,West,RetailMart,Cream & Onion Wafers,Outbound,109,7.34,800.12,96.91,-109,334,629,NO
2024-01-04 00:19:52.558511702,2024,Mumbai,Maharashtra,South,BigMart,Black Pepper Wafers,Return,31,5.5,170.43,23.46,31,168,0,YES
2024-01-04 02:39:52.318463692,2024,Jaipur,Rajasthan,South,QuickBuy,Black Pepper Wafers,Inbound,189,7.69,1452.47,290.64,189,197,720,NO
2024-01-04 04:59:52.078415683,2024,Mumbai,Maharashtra,North,ShopEase,Chilli Wafers,Outbound,189,11.54,2181.51,564.24,-189,107,935,NO
2024-01-04 07:19:51.838367673,2024,Bangalore,Karnataka,South,SuperStore,Aloo Bhujia Wafers,Outbound,120,10.34,1240.34,161.28,-120,410,310,YES
2024-01-04 09:39:51.598319663,2024,Jaipur,Rajasthan,South,BigMart,Black Pepper Wafers,Outbound,173,14.44,2498.19,579.45,-173,233,207,YES
2024-01-04 11:59:51.358271654,2024,Kolkata,West Bengal,West,ShopEase,Tomato Wafers,Outbound,82,8.96,734.95,121.06,-82,484,153,YES
2024-01-04 14:19:51.118223644,2024,Bangalore,Karnataka,South,BigMart,Chilli Wafers,Outbound,156,11.94,1862.43,313.34,-156,155,761,NO
2024-01-04 16:39:50.878175635,2024,Surat,Gujarat,North,BigMart,Black Pepper Wafers,Inbound,47,9.89,464.98,108.05,47,459,682,NO
2024-01-04 18:59:50.638127625,2024,Pune,Maharashtra,South,BigMart,Black Pepper Wafers,Inbound,79,10.13,799.94,154.71,79,213,314,NO
2024-01-04 21:19:50.398079615,2024,Kolkata,West Bengal,East,BigMart,Chilli Wafers,Inbound,125,7.68,959.72,251.84,125,187,306,NO
2024-01-04 23:39:50.158031606,2024,Surat,Gujarat,East,QuickBuy,Tomato Wafers,Inbound,88,9.55,840.36,110.24,88,237,503,NO
2024-01-05 01:59:49.917983596,2024,Hyderabad,Telangana,West,RetailMart,Chilli Wafers,Inbound,194,9.71,1883.32,485.88,194,207,618,NO
2024-01-05 04:19:49.677935587,2024,Kolkata,West Bengal,West,BigMart,Masala Wafers,Inbound,157,12.07,1894.43,213.78,157,122,654,NO
2024-01-05 06:39:49.437887577,2024,Hyderabad,Telangana,East,ShopEase,Salted Wafers,Inbound,18,14.41,259.32,36.0,18,243,519,NO
2024-01-05 08:59:49.197839567,2024,Jaipur,Rajasthan,South,ShopEase,Mint Masala Wafers,Outbound,41,8.29,340.02,78.62,-41,456,605,NO
2024-01-05 11:19:48.957791558,2024,Surat,Gujarat,South,ShopEase,Tomato Wafers,Outbound,141,5.42,764.5,207.17,-141,243,909,NO
2024-01-05 13:39:48.717743548,2024,Pune,Maharashtra,West,RetailMart,Mint Masala Wafers,Outbound,59,9.96,587.81,88.49,-59,155,96,YES
2024-01-05 15:59:48.477695539,2024,Bangalore,Karnataka,North,RetailMart,Tomato Wafers,Inbound,91,10.44,950.46,157.24,91,207,489,NO
2024-01-05 18:19:48.237647529,2024,Chennai,Tamil Nadu,South,ShopEase,Masala Wafers,Inbound,14,6.68,93.58,19.41,14,450,6,YES
2024-01-05 20:39:47.997599519,2024,Mumbai,Maharashtra,East,QuickBuy,Mint Masala Wafers,Inbound,157,12.6,1978.93,281.63,157,105,785,NO
2024-01-05 22:59:47.757551510,2024,Ahmedabad,Gujarat,North,RetailMart,Tomato Wafers,Return,96,14.85,1425.53,373.82,96,129,11,YES
2024-01-06 01:19:47.517503500,2024,Pune,Maharashtra,North,RetailMart,Mint Masala Wafers,Outbound,135,14.46,1951.8,497.18,-135,484,513,NO
2024-01-06 03:39:47.277455491,2024,Surat,Gujarat,South,QuickBuy,Masala Wafers,Inbound,84,6.97,585.57,75.57,84,406,945,NO
2024-01-06 05:59:47.037407481,2024,Chennai,Tamil Nadu,North,BigMart,Cream & Onion Wafers,Outbound,174,13.75,2393.13,461.31,-174,461,348,YES
2024-01-06 08:19:46.797359471,2024,Pune,Maharashtra,West,RetailMart,Aloo Bhujia Wafers,Inbound,31,12.04,373.39,95.2,31,444,916,NO
2024-01-06 10:39:46.557311462,2024,Surat,Gujarat,North,ShopEase,Salted Wafers,Outbound,195,9.54,1860.0,311.49,-195,226,6,YES
